Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),Month,Date,Festival,Festival_Name
2019-10-18 09:00:00,114.23772727272728,210.05,8.61909090909091,32.38636363636363,24.39636363636364,57.641,9.675,1.0672727272727274,29.60272727272727,3.4588888888888887,10.583888888888888,0.65125,2.46,1.75875,2.402,27.56357142857143,63.06444444444445,1.416,151.01388888888889,0.0,0.0,260.5455,810.6564285714286,,10,18,False,
2019-10-18 10:00:00,117.91727272727276,247.6605555555556,6.322083333333333,31.864166666666662,21.925416666666667,58.1805,20.197916666666668,0.8783333333333334,43.71875,2.5945,8.995999999999999,1.044,1.31,1.711,2.1558333333333333,29.775,55.0825,1.4404545454545454,147.6375,0.0,0.0,356.4540909090909,805.573125,,10,18,False,
2019-10-18 11:00:00,99.73416666666668,215.268,5.6375,26.11875,18.055,55.5115,17.92875,0.9091666666666668,57.642500000000005,2.86,7.9535,0.968,,1.93125,2.262,31.606428571428573,50.1155,1.471818181818182,158.36,0.0,0.0,401.2136363636364,802.1875,,10,18,False,
2019-10-18 12:00:00,76.77666666666667,176.217,6.544583333333333,24.730416666666667,18.511666666666667,50.929,14.85875,0.6754166666666667,61.68541666666667,2.4295,6.997,0.963,,2.095,2.198,32.62714285714286,47.211,1.6309090909090906,148.209,0.0,0.0,415.1263636363637,800.4075,,10,18,False,
2019-10-18 13:00:00,70.61363636363636,152.1165,8.53375,22.917916666666667,19.695416666666667,45.8575,8.659166666666666,0.64,68.13083333333334,1.9877777777777776,6.782777777777778,0.867,,1.9,1.836,33.15571428571429,45.583,1.518181818181818,171.428,0.0,0.0,350.06454545454545,794.54,,10,18,False,
2019-10-18 14:00:00,66.93727272727273,134.751,4.03375,22.46875,14.85625,45.682,8.2175,0.6283333333333333,73.1425,1.745,6.04,0.8480000000000001,,1.45625,1.662,33.346428571428575,45.035,1.4436363636363636,167.8295,0.0,0.0,241.3272727272727,793.4875,,10,18,False,
2019-10-18 15:00:00,63.54583333333333,139.03799999999998,4.235833333333333,23.722916666666663,15.66875,44.9365,11.527916666666668,0.6375000000000001,70.9725,1.596,5.2005,0.897,,1.635,1.661,32.66142857142857,46.835,1.3322727272727273,139.9265,0.0,0.0,138.34136363636364,797.925,,10,18,False,
2019-10-18 16:00:00,67.70333333333333,154.9285,4.931666666666667,31.219166666666663,20.356666666666666,44.4215,7.026666666666666,0.73375,59.37,1.812,5.9415,1.159,0.54,2.19125,1.515,31.38214285714286,49.597,1.049090909090909,126.6765,0.0,0.0,66.32181818181817,802.755,,10,18,False,
2019-10-18 17:00:00,68.62666666666667,177.711,6.327083333333333,44.48041666666666,29.39583333333333,45.3915,7.414583333333333,0.9716666666666668,37.187916666666666,1.958,7.499444444444445,1.204,,2.16125,2.778,30.11785714285714,54.582,0.7927272727272728,141.798,0.0,0.0,15.925,794.004375,,10,18,False,
2019-10-18 18:00:00,75.31416666666667,208.2235,13.75125,50.19083333333333,38.78916666666667,45.8515,6.715416666666667,1.1133333333333333,33.325,3.22,9.666666666666666,1.8,,3.2625,4.032,28.684285714285718,59.391,1.5736363636363635,158.2055,0.14,0.3461538461538461,12.689444444444444,792.35375,,10,18,False,
2019-10-18 19:00:00,81.82166666666667,294.4525,11.408333333333331,39.642500000000005,30.93166666666667,49.1995,8.0225,0.8879166666666668,38.015,3.318888888888889,9.940555555555555,1.846,,5.237500000000001,3.85,26.32642857142857,60.3445,2.395,159.79450000000003,0.735,0.903846153846154,12.421666666666669,793.301875,,10,18,False,
2019-10-18 20:00:00,73.91083333333333,275.492,5.565833333333334,34.2425,22.765,49.1005,7.509090909090909,0.6645833333333333,39.23041666666666,2.1555555555555554,7.475,1.438,,3.95625,3.242,25.696428571428573,58.9655,1.9290909090909092,163.94549999999998,0.04375,0.0692307692307692,10.886500000000002,792.301875,,10,18,False,
2019-10-18 21:00:00,56.803333333333335,160.40699999999998,5.221666666666667,31.99708333333333,21.66625,48.0595,7.1068181818181815,0.5229166666666667,39.90375,1.6444444444444444,5.896111111111111,1.502,,2.385,3.1260000000000003,25.005714285714284,59.184000000000005,1.2168181818181818,150.202,0.0,0.0,10.5835,792.1637499999999,,10,18,False,
2019-10-18 22:00:00,46.76590909090908,123.44055555555556,6.030833333333334,32.41625,22.394583333333333,46.6035,7.872272727272727,0.5304166666666666,32.568333333333335,1.5594444444444444,6.794444444444444,1.265,,2.0675,2.871,24.342142857142857,61.75599999999999,0.9022727272727272,166.0155,0.0,0.0,10.338,792.5075,,10,18,False,
2019-10-18 23:00:00,47.88166666666666,99.769,8.70375,35.74,26.645,48.263,9.585,0.5925,34.58590909090909,1.615,6.675555555555556,1.266,,2.06125,2.864,23.767142857142854,64.226,0.7240909090909091,143.3605,0.0,0.0,11.388333333333334,792.08375,,10,18,False,
